Company,Job,Degree,Salary_more_than_100k
Google,sale executive,bachelors,0
Google,sale executive,masters,0
Google,business manager,bachelors,1
Google,business manager,masters,1
Google,computer programmer,bachelors,0
Google,computer programmer,masters,1
 abc pharma,sale executive,masters,0
 abc pharma,computer programmer,bachelors,0
 abc pharma,business manager,bachelors,0
 abc pharma,business manager,masters,1
Facebook,sale executive,bachelors,1
Facebook,sale executive,masters,1
Facebook,business manager,bachelors,1
Facebook,business manager,masters,1
Facebook,computer programmer,bachelors,1
Facebook,computer programmer,masters,1
